medication_id,name,frequency
2d79ada8-c91a-4855-956c-8856cf7032f4,Bag (359mg),Twice daily
f2185e5d-119c-44e7-a3bd-0114c579334e,Town (437mg),Every 8 hours
7820182f-f64c-4eac-a6e5-5750d1c2c019,Stay (82mg),Twice daily
3e439700-e643-490d-a61f-6f5a5d4e9cfd,Animal (146mg),Once daily
c926e02a-bd55-4906-9793-41b883a0aab9,Computer (106mg),Once daily
b97caf97-f606-4fec-900d-73cf0c0c9313,Man (219mg),Once daily
e84b248b-eca1-4567-9f78-a631f6b93a37,Real (247mg),Once daily
8e5b02e5-9f94-4244-8f96-9af1c705ec00,Race (201mg),Once daily
3cb9899f-886b-401a-821a-9930723a075f,Wrong (277mg),Once daily
10e0032a-122f-419c-85de-a760bc07732c,Mention (102mg),Every 8 hours
d75fbf4b-efb3-47f6-846b-a570699dc576,Specific (491mg),Once daily
ea77eee6-b00c-47e3-99e9-ef46683c98d8,Can (299mg),Once daily
98937b66-b9ac-4789-814f-bb02c3846bc1,Factor (218mg),Twice daily
c91e594a-9b53-47f2-af4c-9c2740acaf24,Determine (397mg),Once daily
bdc89b2d-ab0b-436f-aeaa-b2ae8e59adc3,Support (428mg),Every 8 hours
850e7e5c-2ae9-4364-b0be-63a47638982b,Financial (115mg),Twice daily
716d8be5-dfc8-420e-b9a7-a8b6880fc5e4,List (168mg),Every 8 hours
d30c78cd-2252-4446-a380-85cc44212c22,Safe (100mg),Once daily
a14dad85-3214-4e7d-a3bd-45acd2873037,Sea (394mg),Once daily
187f0ee0-da8b-4efd-b841-81f85defa48a,Weight (336mg),Once daily
741d8841-2f09-4b6e-a1eb-f0b98ffe2e53,Bed (194mg),Every 8 hours
c28cc98e-9ace-491c-ad3a-9926afbb47e5,Language (382mg),Once daily
a5125f67-974a-446c-af7a-e153dc6058b0,Out (82mg),Once daily
89d9d934-c53c-46d8-8e76-64f93c540a2f,His (412mg),Once daily
0c53fa18-261d-4bc3-b173-083974fd964a,Region (68mg),Every 8 hours
e772ed63-6d6c-4f29-a797-90480a5bb098,One (194mg),Every 8 hours
5c91b477-3e49-4e11-9c5e-60d072c0f4f5,Image (427mg),Once daily
a034a31f-141d-4298-bc1a-74d757e4c8fb,Understand (86mg),Once daily
e179e2fa-e26b-417a-a215-30dc279740a1,End (297mg),Once daily
2e82e5cf-06ed-4ca1-9cfb-5402c06002c1,Development (88mg),Twice daily
dc963ff7-8427-434a-993f-457d21cea0e2,Stay (344mg),Every 8 hours
32903dba-d478-433f-841a-922ccc936382,Soon (313mg),Once daily
8bdaa70e-1845-4d7e-8473-5c852951e82c,Grow (66mg),Twice daily
62a8975e-6c72-431f-83e1-9aaaad5bdbaa,Game (307mg),Once daily
9409d6b1-8f05-47f3-a2cd-f8451e0a4b85,Eye (194mg),Twice daily
fb355ada-fee3-4f8a-bb02-35097c71f040,Thing (108mg),Twice daily
755020ac-0f56-49d2-9465-9c1e862d6b8b,Dinner (438mg),Twice daily
a3e5c790-b272-45f3-bfea-89bbce3c2929,Station (302mg),Once daily
195369dc-7c32-4da9-b0a9-299288bf5a1f,Site (202mg),Once daily
7edf0e88-287f-4801-8f38-6eac45639889,Official (424mg),Twice daily
f085e6e9-3952-421f-87bf-76147ea12597,Government (131mg),Once daily
ef6a643b-8fc5-411d-aca6-fbead0c0c97d,Front (219mg),Every 8 hours
97e38bd2-0f7b-4fe1-9a2a-28b3cfcdd3c9,Right (224mg),Twice daily
97c50f81-f7bc-4544-9094-08b0f97a72f0,Rock (294mg),Once daily
54d2e96f-0b2a-4f43-8494-077059192988,Read (140mg),Every 8 hours
93e8d67e-c6e7-437d-9b89-8781824bc5f5,Meeting (424mg),Every 8 hours
dfddb200-011f-4495-898b-aece5edfeab9,Camera (298mg),Every 8 hours
f314b616-7d25-4fd1-9275-26a3fc419401,Executive (439mg),Twice daily
8505205e-8219-485e-b785-931e358cc9f5,There (223mg),Twice daily
89f2b042-aad0-49f6-a33c-941f6ef212fd,Something (92mg),Twice daily
